,Season,Gameday,Link,Score,Minute,Player
0,2014,1,2407218,1,37,39317
1,2014,1,2407218,2,47,28673
2,2014,1,2407218,1,52,22646
3,2014,1,2407221,1,33,40709
4,2014,1,2407221,2,35,49091
5,2014,1,2407222,-1,47,28674
6,2014,1,2407222,0,67,49697
7,2014,1,2407222,1,70,59173
8,2014,1,2407223,1,16,49571
9,2014,1,2407223,2,47,49571
10,2014,1,2407223,1,53,34457
11,2014,1,2407223,0,55,51072
12,2014,1,2407224,1,14,57341
13,2014,1,2407219,-1,1,57602
14,2014,1,2407219,-2,90,29567
15,2014,1,2407226,-1,33,63860
16,2014,1,2407226,0,37,43606
17,2014,1,2407226,1,87,33927
18,2014,1,2407226,0,90,59462
19,2014,1,2407220,-1,51,73087
20,2014,1,2407220,0,90,59163
21,2014,2,2407240,-1,11,46429
22,2014,2,2407240,-2,14,41817
23,2014,2,2407240,-3,78,59098
24,2014,2,2407240,-2,82,54727
25,2014,2,2407240,-1,89,44518
26,2014,2,2407237,-1,24,77866
27,2014,2,2407237,0,50,77866
28,2014,2,2407237,-1,60,49571
29,2014,2,2407237,0,62,44532
30,2014,2,2407237,1,74,68578
31,2014,2,2407237,2,86,57602
32,2014,2,2407238,1,15,37125
33,2014,2,2407238,0,23,47576
34,2014,2,2407238,1,79,64040
35,2014,2,2407238,0,86,58837
36,2014,2,2407241,-1,19,67196
37,2014,2,2407241,0,59,71474
38,2014,2,2407243,-1,22,78876
39,2014,2,2407243,-2,33,69265
40,2014,2,2407244,-1,29,43606
41,2014,2,2407244,-2,68,39657
42,2014,2,2407244,-3,87,34246
43,2014,2,2407236,-1,10,51570
44,2014,2,2407236,0,62,39266
45,2014,3,2407247,1,17,77866
46,2014,3,2407247,0,45,39065
47,2014,3,2407247,-1,60,51072
48,2014,3,2407247,0,63,64038
49,2014,3,2407247,1,73,63656
50,2014,3,2407247,0,85,44448
51,2014,3,2407245,1,27,43592
52,2014,3,2407245,2,85,39686
53,2014,3,2407246,1,34,59098
54,2014,3,2407246,2,41,44389
55,2014,3,2407246,3,78,58396
56,2014,3,2407246,2,90,49509
57,2014,3,2407249,1,55,65936
58,2014,3,2407249,0,89,22646
59,2014,3,2407251,-1,36,63860
60,2014,3,2407251,-2,70,41189
61,2014,3,2407251,-1,86,64343
62,2014,3,2407251,-2,90,63860
63,2014,3,2407248,1,17,50433
64,2014,3,2407248,2,50,50433
65,2014,3,2407248,1,52,42607
66,2014,3,2407248,2,56,41678
67,2014,3,2407248,3,79,44484
68,2014,3,2407252,-1,49,54727
69,2014,3,2407250,1,13,33302
70,2014,3,2407250,2,24,64322
71,2014,4,2407258,1,30,66756
72,2014,4,2407258,0,36,64343
73,2014,4,2407258,1,79,54250
74,2014,4,2407258,0,90,64343
75,2014,4,2407254,-1,15,27813
76,2014,4,2407254,-2,24,30891
77,2014,4,2407254,-1,40,42607
78,2014,4,2407254,0,50,54639
79,2014,4,2407257,-1,3,68317
80,2014,4,2407257,0,14,29659
81,2014,4,2407257,1,45,40054
82,2014,4,2407257,0,56,51072
83,2014,4,2407257,1,77,31579
84,2014,4,2407257,2,90,44518
85,2014,4,2407259,-1,15,65936
86,2014,4,2407259,-2,84,49091
87,2014,4,2407262,1,71,43606
88,2014,4,2407262,2,90,34246
89,2014,4,2407256,1,66,63860
90,2014,4,2407256,2,74,70990
91,2014,4,2407255,1,8,60044
92,2014,4,2407255,0,29,69186
93,2014,4,2407255,1,45,41416
94,2014,4,2407255,2,63,60044
95,2014,4,2407255,3,81,30611
96,2014,5,2407263,1,8,43592
97,2014,5,2407263,2,14,51570
98,2014,5,2407263,3,78,43592
99,2014,5,2407263,4,85,39317
100,2014,5,2407267,-1,31,40563
101,2014,5,2407267,-2,33,40563
102,2014,5,2407267,-1,44,49091
103,2014,5,2407267,0,63,45202
104,2014,5,2407267,-1,75,70281
105,2014,5,2407267,0,90,65365
106,2014,5,2407270,-1,48,60323
107,2014,5,2407270,-2,51,46095
108,2014,5,2407270,-3,85,30755
109,2014,5,2407271,-1,41,68029
110,2014,5,2407271,-2,44,63860
111,2014,5,2407271,-1,45,27813
112,2014,5,2407271,0,82,57341
113,2014,5,2407264,-1,48,45200
114,2014,5,2407264,-2,68,45200
115,2014,5,2407264,-1,73,58396
116,2014,5,2407264,0,86,54977
117,2014,5,2407265,1,33,63656
118,2014,5,2407266,1,25,41678
119,2014,5,2407268,1,6,59173
120,2014,5,2407269,1,35,33715
121,2014,6,2407272,1,10,57147
122,2014,6,2407272,2,23,42607
123,2014,6,2407272,1,26,58396
124,2014,6,2407277,1,69,39167
125,2014,6,2407279,-1,19,43592
126,2014,6,2407279,-2,66,38891
127,2014,6,2407280,-1,8,41708
128,2014,6,2407280,-2,14,44484
129,2014,6,2407280,-1,70,45136
130,2014,6,2407273,1,15,60044
131,2014,6,2407273,0,37,57245
132,2014,6,2407273,1,57,22646
133,2014,6,2407275,1,27,40054
134,2014,6,2407278,-1,44,57341
135,2014,6,2407278,0,58,40898
136,2014,6,2407278,-1,90,71673
137,2014,7,2407287,-1,5,65949
138,2014,7,2407287,0,22,33715
139,2014,7,2407287,1,64,33715
140,2014,7,2407287,2,74,38351
141,2014,7,2407287,1,83,40133
142,2014,7,2407281,1,6,51570
143,2014,7,2407281,2,13,28673
144,2014,7,2407281,3,38,51570
145,2014,7,2407281,4,79,28673
146,2014,7,2407282,-1,35,49504
147,2014,7,2407283,-1,20,50470
148,2014,7,2407283,0,42,39195
149,2014,7,2407283,-1,87,34246
150,2014,7,2407283,0,90,57602
151,2014,7,2407286,1,13,49091
152,2014,7,2407286,2,29,40709
153,2014,7,2407286,1,83,28674
154,2014,7,2407288,-1,8,70281
155,2014,7,2407288,0,31,51072
156,2014,7,2407289,-1,15,42609
157,2014,7,2407289,0,44,27813
158,2014,7,2407289,1,54,27813
159,2014,7,2407289,0,65,64523
160,2014,7,2407289,1,79,73623
161,2014,7,2407284,1,58,37125
162,2014,7,2407285,1,15,41678
163,2014,7,2407285,0,31,68029
164,2014,8,2407290,1,20,26870
165,2014,8,2407290,2,27,30077
166,2014,8,2407290,3,43,39317
167,2014,8,2407290,4,45,43592
168,2014,8,2407290,5,79,26870
169,2014,8,2407290,6,86,43592
170,2014,8,2407292,1,20,68029
171,2014,8,2407292,2,23,70399
172,2014,8,2407292,1,78,31579
173,2014,8,2407293,-1,14,41678
174,2014,8,2407293,-2,49,57343
175,2014,8,2407293,-3,90,41678
176,2014,8,2407294,-1,8,50405
177,2014,8,2407294,-2,66,50405
178,2014,8,2407294,-1,90,70999
179,2014,8,2407295,-1,4,63656
180,2014,8,2407295,-2,9,63656
181,2014,8,2407295,-3,41,57602
182,2014,8,2407295,-2,57,67074
183,2014,8,2407295,-1,67,38779
184,2014,8,2407295,0,76,39152
185,2014,8,2407297,1,40,54657
186,2014,8,2407297,0,48,54977
187,2014,8,2407297,1,74,54894
188,2014,8,2407291,1,19,28674
189,2014,8,2407291,2,65,54639
190,2014,8,2407296,-1,15,65936
191,2014,8,2407296,0,34,49504
192,2014,8,2407298,-1,57,27813
193,2014,8,2407298,0,66,57247
194,2014,8,2407298,1,79,33927
195,2014,8,2407298,2,85,50263
196,2014,9,2407306,-1,59,69265
197,2014,9,2407299,-1,62,72326
198,2014,9,2407303,1,11,40054
199,2014,9,2407303,2,66,26143
200,2014,9,2407304,1,73,48998
201,2014,9,2407305,1,59,39175
202,2014,9,2407305,2,65,28716
203,2014,9,2407305,3,85,39175
204,2014,9,2407307,1,21,29031
205,2014,9,2407307,0,34,39152
206,2014,9,2407307,-1,36,39152
207,2014,9,2407307,-2,51,30970
208,2014,9,2407307,-1,57,27813
209,2014,9,2407307,0,61,39574
210,2014,9,2407307,1,65,29031
211,2014,9,2407307,0,81,67074
212,2014,9,2407307,-1,84,30970
213,2014,9,2407300,1,53,64038
214,2014,9,2407301,1,15,37125
215,2014,9,2407301,2,59,59307
216,2014,9,2407301,3,87,50405
217,2014,10,2407309,1,37,28674
218,2014,10,2407311,1,3,63860
219,2014,10,2407311,0,45,51072
220,2014,10,2407311,-1,49,51072
221,2014,10,2407312,1,88,29031
222,2014,10,2407313,-1,15,59307
223,2014,10,2407313,-2,45,65540
224,2014,10,2407313,-3,48,59516
225,2014,10,2407313,-4,88,59307
226,2014,10,2407314,1,26,28725
227,2014,10,2407308,-1,31,46429
228,2014,10,2407308,0,72,51570
229,2014,10,2407308,1,85,28673
230,2014,10,2407310,1,12,50433
231,2014,10,2407310,0,30,65936
232,2014,10,2407310,1,32,41708
233,2014,10,2407310,2,52,41708
234,2014,10,2407315,-1,51,70281
235,2014,10,2407316,1,28,49931
236,2014,10,2407316,0,41,33715
237,2014,10,2407316,1,52,43606
238,2014,10,2407316,2,75,45156
239,2014,11,2407322,-1,44,38679
240,2014,11,2407322,-2,76,72326
241,2014,11,2407320,1,7,31579
242,2014,11,2407320,2,47,31579
243,2014,11,2407320,3,68,29041
244,2014,11,2407321,1,2,40709
245,2014,11,2407321,0,5,82265
246,2014,11,2407321,-1,12,25350
247,2014,11,2407321,-2,35,69265
248,2014,11,2407321,-1,39,67196
249,2014,11,2407321,0,45,67196
250,2014,11,2407321,-1,83,82265
251,2014,11,2407324,-1,23,39317
252,2014,11,2407324,-2,64,39317
253,2014,11,2407324,-3,67,39317
254,2014,11,2407324,-4,86,58587
255,2014,11,2407325,1,22,72706
256,2014,11,2407325,2,68,58107
257,2014,11,2407323,1,30,44448
258,2014,11,2407323,2,57,39065
259,2014,11,2407319,1,27,22646
260,2014,11,2407319,2,64,30611
261,2014,11,2407317,1,58,59163
262,2014,12,2407326,1,22,43592
263,2014,12,2407326,2,39,51570
264,2014,12,2407326,3,82,28673
265,2014,12,2407326,4,87,48418
266,2014,12,2407327,1,10,42607
267,2014,12,2407327,2,22,42607
268,2014,12,2407327,3,25,38784
269,2014,12,2407327,2,37,22646
270,2014,12,2407327,1,74,38248
271,2014,12,2407328,1,6,46276
272,2014,12,2407328,0,54,67889
273,2014,12,2407328,-1,57,27813
274,2014,12,2407328,-2,73,69857
275,2014,12,2407329,1,27,50999
276,2014,12,2407329,0,30,58107
277,2014,12,2407329,-1,58,51660
278,2014,12,2407329,0,88,60522
279,2014,12,2407330,-1,46,29567
280,2014,12,2407330,-2,58,63656
281,2014,12,2407330,-1,60,41101
282,2014,12,2407330,-2,72,57602
283,2014,12,2407334,-1,12,58396
284,2014,12,2407334,-2,45,46429
285,2014,12,2407334,-1,60,57405
286,2014,12,2407334,0,81,26745
287,2014,12,2407333,-1,28,38351
288,2014,12,2407333,0,58,69265
289,2014,12,2407333,-1,86,28440
290,2014,12,2407332,1,83,54614
291,2014,12,2407332,2,90,45127
292,2014,12,2407331,-1,72,40054
293,2014,13,2407343,-1,31,39152
294,2014,13,2407343,0,42,70281
295,2014,13,2407343,-1,52,82629
296,2014,13,2407343,-2,68,67074
297,2014,13,2407343,-3,76,39152
298,2014,13,2407335,1,9,28674
299,2014,13,2407335,2,25,28674
300,2014,13,2407335,1,44,63860
301,2014,13,2407335,2,54,30755
302,2014,13,2407335,3,61,28674
303,2014,13,2407336,-1,4,25350
304,2014,13,2407336,0,26,57602
305,2014,13,2407336,1,61,64038
306,2014,13,2407336,2,79,69186
307,2014,13,2407336,3,88,69186
308,2014,13,2407336,4,90,57602
309,2014,13,2407338,-1,45,28725
310,2014,13,2407338,0,50,26143
311,2014,13,2407338,1,62,54727
312,2014,13,2407338,2,70,40054
313,2014,13,2407340,-1,27,28673
314,2014,13,2407341,1,10,38780
315,2014,13,2407341,2,48,68317
316,2014,13,2407341,3,50,39065
317,2014,13,2407341,4,80,57238
318,2014,13,2407339,1,19,39775
319,2014,13,2407339,2,37,48998
320,2014,13,2407339,1,43,39183
321,2014,13,2407339,0,52,59173
322,2014,13,2407339,1,59,34364
323,2014,13,2407339,2,63,66745
324,2014,13,2407339,1,86,39183
325,2014,13,2407337,1,12,65540
326,2014,13,2407342,1,5,27813
327,2014,13,2407342,2,78,57341
328,2014,14,2407345,1,17,48408
329,2014,14,2407346,1,9,43253
330,2014,14,2407346,0,45,49571
331,2014,14,2407346,1,53,44484
332,2014,14,2407346,2,83,74645
333,2014,14,2407346,1,90,33715
334,2014,14,2407347,-1,4,59516
335,2014,14,2407347,0,45,59173
336,2014,14,2407347,-1,69,73112
337,2014,14,2407347,-2,85,64040
338,2014,14,2407349,-1,1,42607
339,2014,14,2407349,-2,10,60323
340,2014,14,2407349,-3,21,42607
341,2014,14,2407349,-4,61,42607
342,2014,14,2407351,1,13,69265
343,2014,14,2407351,0,53,74939
344,2014,14,2407351,-1,90,41682
345,2014,14,2407352,-1,18,70281
346,2014,14,2407352,0,89,43606
347,2014,14,2407344,1,51,39686
348,2014,14,2407350,1,32,85327
349,2014,14,2407350,2,54,28725
350,2014,14,2407350,1,89,63860
351,2014,14,2407348,1,34,27813
352,2014,14,2407348,0,45,50723
353,2014,14,2407348,1,52,57341
354,2014,14,2407348,2,68,27813
355,2014,14,2407348,3,76,39574
356,2014,14,2407348,2,79,56498
357,2014,14,2407348,3,80,67889
358,2014,15,2407358,1,43,48998
359,2014,15,2407358,0,58,39574
360,2014,15,2407358,1,66,40709
361,2014,15,2407358,0,77,57341
362,2014,15,2407358,1,87,67196
363,2014,15,2407353,-1,47,69265
364,2014,15,2407353,-2,67,25350
365,2014,15,2407353,-1,85,79543
366,2014,15,2407357,-1,58,65909
367,2014,15,2407357,-2,60,28673
368,2014,15,2407357,-3,68,51570
369,2014,15,2407357,-4,71,28673
370,2014,15,2407359,1,40,49571
371,2014,15,2407360,-1,12,39183
372,2014,15,2407360,0,36,38780
373,2014,15,2407360,1,55,78024
374,2014,15,2407360,0,62,59173
375,2014,15,2407360,-1,64,72326
376,2014,15,2407360,0,88,68317
377,2014,15,2407356,1,36,51438
378,2014,15,2407356,0,72,84612
379,2014,15,2407354,1,18,64038
380,2014,15,2407354,0,40,37525
381,2014,15,2407355,1,17,45395
382,2014,15,2407355,0,51,45156
383,2014,16,2407362,1,41,28673
384,2014,16,2407362,2,48,39317
385,2014,16,2407366,1,20,77416
386,2014,16,2407366,2,55,59173
387,2014,16,2407368,-1,42,38779
388,2014,16,2407363,1,8,58396
389,2014,16,2407363,0,29,59516
390,2014,16,2407363,1,76,54977
391,2014,16,2407363,0,85,37125
392,2014,16,2407364,1,32,41678
393,2014,16,2407364,2,38,37166
394,2014,16,2407364,1,51,38780
395,2014,16,2407364,2,64,59163
396,2014,16,2407364,3,88,73214
397,2014,16,2407365,-1,79,29567
398,2014,16,2407367,-1,21,67717
399,2014,16,2407367,-2,33,39175
