,Gameday,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2822,0.235294117647,0.111111111111,0.0,0.0,0.0,0.0,0.5,0.333333333333,0.575757575758,0.25,0.375,0.515151515152,0.314285714286,0.35,0.428571428571,0.666666666667,0.142857142857,0.0,0.0
2823,0.235294117647,0.0,0.375,1.0,0.0,0.2,1.0,0.472222222222,0.363636363636,0.35,0.25,0.454545454545,0.342857142857,0.15,0.142857142857,0.333333333333,0.285714285714,0.0,0.0
2824,0.235294117647,0.111111111111,0.125,0.5,0.2,0.2,0.5,0.611111111111,0.0909090909091,0.4,0.0,0.393939393939,0.628571428571,0.45,0.0714285714286,0.333333333333,0.428571428571,0.0,0.0
2825,0.264705882353,0.0,0.125,1.0,0.0,0.2,1.0,0.222222222222,0.393939393939,0.1,0.25,0.454545454545,0.342857142857,0.1,0.214285714286,0.333333333333,0.285714285714,0.0,0.0
2826,0.264705882353,0.0,0.0,0.5,0.0,0.0,0.5,0.222222222222,0.30303030303,0.15,0.1875,0.666666666667,0.571428571429,0.15,0.357142857143,1.0,0.285714285714,0.0,0.0
2827,0.264705882353,0.111111111111,0.625,1.0,0.2,0.2,0.5,0.194444444444,0.484848484848,0.1,0.375,0.545454545455,0.4,0.05,0.0714285714286,0.666666666667,0.428571428571,0.0,0.0
2828,0.264705882353,0.0,0.125,1.0,0.0,0.2,1.0,0.444444444444,0.242424242424,0.25,0.25,0.424242424242,0.485714285714,0.6,0.214285714286,0.5,0.285714285714,0.0,0.0
2829,0.264705882353,0.0,0.25,1.0,0.0,0.2,1.0,0.305555555556,0.484848484848,0.25,0.375,0.424242424242,0.457142857143,0.4,0.285714285714,0.333333333333,0.142857142857,0.0,0.0
2830,0.264705882353,0.222222222222,0.125,0.0,0.2,0.0,0.0,0.527777777778,0.272727272727,0.45,0.3125,0.545454545455,0.457142857143,0.35,0.428571428571,0.5,0.571428571429,0.0,0.333333333333
2831,0.264705882353,0.444444444444,0.25,0.0,0.4,0.2,0.0,0.444444444444,0.212121212121,0.45,0.1875,0.424242424242,0.342857142857,0.25,0.285714285714,0.666666666667,0.0,0.0,0.0
2832,0.264705882353,0.0,0.25,1.0,0.0,0.4,1.0,0.555555555556,0.363636363636,0.15,0.3125,0.393939393939,0.485714285714,0.1,0.285714285714,0.333333333333,0.428571428571,0.0,0.0
2833,0.264705882353,0.111111111111,0.0,0.0,0.0,0.0,0.5,0.333333333333,0.333333333333,0.2,0.375,0.545454545455,0.257142857143,0.3,0.357142857143,0.5,0.142857142857,0.5,0.0
2834,0.294117647059,0.0,0.125,1.0,0.0,0.0,0.5,0.333333333333,0.606060606061,0.15,0.3125,0.727272727273,0.657142857143,0.05,0.357142857143,0.333333333333,0.571428571429,0.5,0.0
2835,0.294117647059,0.333333333333,0.125,0.0,0.2,0.2,0.5,0.444444444444,0.393939393939,0.5,0.3125,0.515151515152,0.542857142857,0.15,0.428571428571,0.333333333333,0.428571428571,0.0,0.333333333333
2836,0.294117647059,0.444444444444,0.375,0.0,0.0,0.0,0.5,0.527777777778,0.363636363636,0.3,0.375,0.484848484848,0.371428571429,0.25,0.214285714286,0.333333333333,0.571428571429,0.0,0.0
2837,0.294117647059,0.0,0.125,1.0,0.0,0.0,0.5,0.25,0.575757575758,0.15,0.375,0.424242424242,0.457142857143,0.25,0.214285714286,0.333333333333,0.142857142857,0.0,0.0
2838,0.294117647059,0.111111111111,0.25,1.0,0.0,0.0,0.5,0.277777777778,0.151515151515,0.2,0.25,0.393939393939,0.4,0.15,0.142857142857,0.166666666667,0.571428571429,0.0,0.0
2839,0.294117647059,0.0,0.125,1.0,0.0,0.2,1.0,0.5,0.151515151515,0.15,0.0625,0.363636363636,0.342857142857,0.4,0.142857142857,0.333333333333,0.428571428571,0.0,0.0
2840,0.294117647059,0.111111111111,0.375,1.0,0.0,0.6,1.0,0.444444444444,0.424242424242,0.25,0.5,0.575757575758,0.485714285714,0.2,0.285714285714,0.333333333333,0.142857142857,0.0,0.0
2841,0.294117647059,0.444444444444,0.0,0.0,0.4,0.0,0.0,0.722222222222,0.121212121212,0.7,0.125,0.242424242424,0.114285714286,0.5,0.0,0.166666666667,0.142857142857,0.0,0.0
2842,0.294117647059,0.555555555556,0.125,0.0,0.6,0.0,0.0,0.527777777778,0.121212121212,0.45,0.1875,0.242424242424,0.371428571429,0.3,0.285714285714,0.0,0.285714285714,0.0,0.0
2843,0.323529411765,0.0,0.0,0.5,0.0,0.0,0.5,0.222222222222,0.30303030303,0.1,0.125,0.393939393939,0.428571428571,0.25,0.357142857143,0.666666666667,0.285714285714,0.0,0.0
2844,0.323529411765,0.222222222222,0.125,0.0,0.2,0.2,0.5,0.361111111111,0.454545454545,0.25,0.375,0.515151515152,0.457142857143,0.25,0.357142857143,0.0,0.285714285714,0.0,0.0
2845,0.323529411765,0.333333333333,0.375,0.5,0.2,0.4,1.0,0.694444444444,0.30303030303,0.5,0.375,0.333333333333,0.457142857143,0.55,0.285714285714,0.5,0.428571428571,0.0,0.0
2846,0.323529411765,0.111111111111,0.5,1.0,0.0,0.4,1.0,0.388888888889,0.333333333333,0.3,0.4375,0.30303030303,0.371428571429,0.25,0.285714285714,0.333333333333,0.142857142857,0.0,0.0
2847,0.323529411765,0.111111111111,0.25,1.0,0.2,0.0,0.0,0.472222222222,0.151515151515,0.2,0.125,0.363636363636,0.428571428571,0.25,0.214285714286,0.0,0.0,0.0,0.0
2848,0.323529411765,0.111111111111,0.375,1.0,0.2,0.4,1.0,0.222222222222,0.333333333333,0.1,0.375,0.515151515152,0.428571428571,0.05,0.642857142857,0.5,0.0,0.0,0.0
