,Link,Home_Player01,Home_Player02,Home_Player03,Home_Player04,Home_Player05,Home_Player06,Home_Player07,Home_Player08,Home_Player09,Home_Player10,Home_Player11,Away_Player01,Away_Player02,Away_Player03,Away_Player04,Away_Player05,Away_Player06,Away_Player07,Away_Player08,Away_Player09,Away_Player10,Away_Player11
0,677932,22930,23832,29619,221,22098,22042,24746,26534,27336,26073,25041,213,25465,9076,21801,28129,999,23475,3009,29255,26143,23263
1,677933,22920,23777,22837,24392,21963,23695,1281,22858,22797,23949,30191,303,31157,1099,30533,34347,33864,26778,24552,30197,1313,465
2,677934,362,25272,26110,29683,1618,23586,510,21698,1666,25031,24314,22806,22556,215,22028,23357,25415,25400,202,30865,30194,25301
3,677935,26566,26148,22905,22707,26171,6000,22052,1823,21882,22907,22934,404,22689,29763,27327,152,22054,26401,24762,24058,27744,25410
4,677937,23621,22714,27621,363,26870,294,263,24967,25271,27472,24364,153,22729,25961,25632,307,25475,430,30054,29324,26228,1185
5,677938,22921,26807,31650,27975,25298,1665,21805,71,24618,24843,27558,46,1331,23848,28279,259,30648,24806,25496,22587,29700,25120
6,677939,1321,23506,1685,9113,29719,512,26084,1654,30895,26483,28615,95,22807,197,25017,9110,26480,27515,26563,22057,22645,22575
7,677936,22067,29616,28722,22652,1056,27457,28494,23859,29757,23421,29567,21382,24393,24523,22824,30521,25869,22928,30619,26604,29746,9039
8,677940,1344,29041,25553,28274,1131,34255,24850,9079,23504,22814,25733,988,22169,29735,26454,9071,21927,25463,23156,24533,23709,9126
9,677941,22010,22556,25003,22028,23357,22675,25415,202,25400,30194,24378,26566,26148,22905,22707,26171,24972,6000,1823,22052,22907,22934
10,677942,213,26536,9076,21801,1738,999,23475,3009,29255,26143,23263,27824,25272,26110,246,1618,23586,510,21698,1666,24314,25031
11,677943,1579,31157,30533,1604,34347,33864,25338,24552,30197,465,34352,22930,33625,29619,23832,25982,22042,24746,26534,27336,26073,25041
12,677944,988,9071,29735,26454,27616,21927,25463,23156,24533,23709,9126,22920,25172,22837,24392,23091,31089,1281,22858,23949,24866,30191
13,677945,26535,22807,22803,25017,28011,26144,26480,22057,26563,9110,22575,1344,1131,28274,25553,26109,242,34255,23504,22814,25733,9079
14,677946,46,1331,23848,28279,259,30648,24806,224,22587,29700,24840,1321,23506,1685,9113,29719,1341,26084,1654,30895,26483,28615
15,677948,21382,24393,21471,22824,30521,22928,25869,26604,127,29746,9039,23621,22714,27621,363,26870,294,24849,24967,25271,27472,25173
16,677947,153,27508,25961,25632,22729,430,25475,29324,26228,1185,27607,22921,25314,31650,27975,25298,1665,21805,71,24618,24843,63
17,677949,404,22689,29763,27327,152,26401,22054,24762,24058,30755,27744,22067,29616,28722,22652,1056,27457,25274,23859,29757,29567,23421
18,677950,303,23209,30533,1604,34347,33864,25338,26778,30197,1313,34352,213,26536,9076,21801,28129,23475,999,1738,23141,23263,26143
19,677951,26566,26148,22905,22707,26171,6000,24972,1823,22907,22052,22934,27824,25272,26110,246,1618,29683,21998,27701,1666,368,25031
20,677952,22067,29616,5002,22652,1056,27457,28494,23859,29757,23421,144,30711,22556,25003,22675,22028,25415,437,202,30865,30194,24378
21,677953,23621,25181,1762,363,26870,294,24967,22714,25271,25173,27472,404,22689,29763,27327,152,26401,22054,24762,24058,30755,27744
22,677955,1321,23506,1685,9113,29719,512,26084,1654,30895,26483,28615,153,27508,25961,25632,307,430,22729,29324,26228,27607,1185
23,677956,1344,34255,29041,28274,31116,242,24850,23504,22814,25733,9079,46,1331,23848,28279,29700,24806,30648,224,22587,25496,24840
24,677957,22920,23777,31089,22837,27630,23695,1281,23091,22797,26351,24866,26535,26144,197,22803,25017,27515,26480,22057,26563,9110,22575
25,677954,22921,26807,31650,27975,25298,1665,1833,71,63,24843,27558,21382,24393,21471,22824,30521,22928,25869,26604,30619,26912,9039
26,677958,22930,23832,29619,221,22098,22042,24746,26534,27336,26073,25041,988,9071,29735,26454,27616,21927,25463,23156,24533,23709,9126
27,677959,26566,26148,21910,22707,26171,24972,6000,1823,21882,22907,22934,213,26536,9076,21801,28129,999,23475,26143,23141,23263,378
28,677960,988,9071,29735,26454,27616,21927,25463,23156,24533,23709,32627,303,31157,30533,1099,23209,22664,34347,25338,24552,34352,465
29,677961,26535,26144,197,22803,9110,26480,27515,26563,22057,22645,22575,22930,23832,29619,221,22098,22042,24746,26534,27336,463,25041
30,677962,46,23766,28279,23848,259,30648,224,24806,29700,22838,25496,22920,23777,31089,22837,21963,23695,1281,23091,22797,23753,30191
31,677963,153,27508,25961,307,22729,430,29324,25475,29781,26228,1185,1344,1131,28274,25553,34255,242,24850,23504,22814,25733,9079
32,677964,21382,22832,21471,22824,30521,25869,22928,25040,26604,29746,9039,1321,23506,1685,9113,29719,512,30895,1654,235,26483,24795
33,677965,404,22689,29763,27327,152,22054,29338,24762,24058,27744,26128,22921,26807,31650,27975,25298,1665,1833,71,24618,24843,63
34,677966,22806,22556,25003,22675,22028,437,25415,25400,202,30194,24378,23621,25181,27055,363,26870,294,263,27472,25271,25173,24364
