Season,Gameday,TID_H,TID_A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
2006,4,8,7,1.0,2.0,A,0.0,0.0,D,9.0,11.0,3.0,5.0,27.0,25.0,3.0,3.0,2.0,0.0,0.0,0.0,1.9,3.25,4.0
2006,4,9,17,1.0,1.0,D,1.0,1.0,D,22.0,4.0,13.0,4.0,8.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,1.61,3.6,5.5
2006,5,7,2,1.0,1.0,D,0.0,1.0,A,16.0,12.0,8.0,6.0,20.0,15.0,12.0,3.0,2.0,0.0,0.0,0.0,2.5,3.25,2.7
2006,5,5,8,2.0,0.0,H,0.0,0.0,D,23.0,10.0,12.0,5.0,12.0,25.0,7.0,4.0,3.0,2.0,0.0,0.0,1.4,4.33,7.5
2006,5,11,9,1.0,1.0,D,0.0,1.0,A,12.0,18.0,5.0,12.0,23.0,19.0,6.0,5.0,2.0,2.0,0.0,0.0,2.4,3.25,2.8
2006,5,0,10,2.0,1.0,H,1.0,1.0,D,21.0,6.0,13.0,5.0,11.0,23.0,9.0,4.0,2.0,3.0,0.0,0.0,1.22,5.5,13.0
2006,5,4,12,1.0,0.0,H,1.0,0.0,H,9.0,8.0,5.0,3.0,22.0,26.0,5.0,8.0,2.0,3.0,0.0,0.0,2.37,3.25,2.87
2006,5,6,13,1.0,1.0,D,0.0,0.0,D,21.0,12.0,10.0,5.0,17.0,11.0,8.0,7.0,0.0,1.0,0.0,0.0,1.83,3.3,4.33
2006,5,3,14,1.0,1.0,D,0.0,0.0,D,17.0,12.0,11.0,9.0,17.0,16.0,3.0,3.0,1.0,1.0,0.0,0.0,2.37,3.2,2.9
2006,5,1,15,1.0,1.0,D,0.0,0.0,D,10.0,14.0,4.0,7.0,22.0,25.0,3.0,7.0,2.0,3.0,1.0,0.0,2.6,3.25,2.6
2006,5,17,16,2.0,1.0,H,0.0,1.0,A,13.0,17.0,7.0,12.0,21.0,18.0,2.0,5.0,2.0,1.0,0.0,0.0,2.1,3.25,3.4
2006,6,8,0,1.0,0.0,H,1.0,0.0,H,7.0,17.0,1.0,10.0,18.0,12.0,2.0,7.0,2.0,1.0,0.0,0.0,5.5,3.6,1.61
2006,6,13,1,2.0,2.0,D,1.0,0.0,H,14.0,9.0,8.0,8.0,21.0,20.0,4.0,1.0,0.0,3.0,0.0,0.0,2.5,3.2,2.75
2006,6,9,3,1.0,1.0,D,1.0,0.0,H,11.0,11.0,5.0,7.0,19.0,18.0,4.0,3.0,2.0,1.0,1.0,0.0,1.66,3.4,5.5
2006,6,15,4,3.0,0.0,H,3.0,0.0,H,12.0,7.0,6.0,4.0,18.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,1.4,4.33,7.5
2006,6,2,5,3.0,1.0,H,1.0,1.0,D,21.0,12.0,12.0,6.0,27.0,25.0,5.0,10.0,4.0,1.0,0.0,0.0,2.4,3.2,2.87
2006,6,14,6,2.0,2.0,D,2.0,1.0,H,17.0,18.0,11.0,9.0,21.0,22.0,6.0,2.0,2.0,3.0,0.0,0.0,2.2,3.2,3.4
2006,6,12,7,2.0,2.0,D,1.0,0.0,H,13.0,17.0,9.0,8.0,20.0,15.0,3.0,4.0,2.0,2.0,0.0,0.0,1.61,3.6,5.5
2006,6,16,11,3.0,1.0,H,0.0,1.0,A,10.0,11.0,5.0,8.0,16.0,27.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,3.2,3.75
2006,6,10,17,2.0,1.0,H,0.0,1.0,A,12.0,21.0,8.0,11.0,21.0,14.0,2.0,6.0,3.0,2.0,0.0,0.0,1.95,3.2,4.0
2006,7,6,2,3.0,0.0,H,1.0,0.0,H,24.0,4.0,16.0,2.0,19.0,14.0,5.0,3.0,0.0,2.0,0.0,1.0,2.37,3.25,2.87
2006,7,1,5,1.0,2.0,A,1.0,1.0,D,9.0,10.0,8.0,7.0,32.0,27.0,8.0,2.0,2.0,2.0,1.0,0.0,2.3,3.1,3.1
2006,7,4,8,3.0,1.0,H,2.0,1.0,H,11.0,11.0,8.0,6.0,19.0,26.0,5.0,3.0,1.0,2.0,0.0,0.0,1.83,3.3,4.33
2006,7,3,10,1.0,3.0,A,1.0,2.0,A,23.0,10.0,10.0,6.0,7.0,13.0,7.0,4.0,2.0,5.0,0.0,0.0,2.05,3.25,3.5
2006,7,11,12,2.0,3.0,A,1.0,1.0,D,18.0,9.0,8.0,7.0,32.0,19.0,7.0,2.0,5.0,3.0,0.0,0.0,2.87,3.25,2.37
2006,7,7,13,1.0,1.0,D,1.0,0.0,H,14.0,8.0,8.0,3.0,19.0,21.0,7.0,6.0,0.0,1.0,0.0,0.0,2.1,3.2,3.5
2006,7,0,14,4.0,2.0,H,2.0,0.0,H,16.0,12.0,10.0,5.0,7.0,15.0,4.0,5.0,1.0,3.0,0.0,0.0,1.44,4.0,7.5
2006,7,17,15,0.0,6.0,A,0.0,1.0,A,12.0,27.0,4.0,16.0,17.0,20.0,3.0,6.0,2.0,1.0,0.0,0.0,4.75,3.5,1.72
2006,7,9,16,1.0,1.0,D,1.0,1.0,D,23.0,7.0,11.0,6.0,7.0,11.0,11.0,3.0,2.0,1.0,0.0,0.0,1.72,3.4,5.0
2006,8,15,0,3.0,1.0,H,2.0,1.0,H,15.0,13.0,8.0,7.0,14.0,23.0,7.0,4.0,1.0,2.0,0.0,0.0,2.4,3.2,2.87
2006,8,2,1,1.0,2.0,A,1.0,0.0,H,13.0,14.0,2.0,9.0,16.0,21.0,8.0,4.0,1.0,1.0,0.0,0.0,2.0,3.2,3.75
2006,8,16,3,1.0,0.0,H,0.0,0.0,D,16.0,14.0,5.0,6.0,10.0,20.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,3.3,3.6
2006,8,14,4,2.0,1.0,H,0.0,0.0,D,18.0,7.0,13.0,4.0,16.0,21.0,5.0,2.0,0.0,1.0,0.0,0.0,1.72,3.5,4.75
2006,8,8,6,1.0,1.0,D,1.0,1.0,D,13.0,11.0,7.0,5.0,12.0,16.0,4.0,11.0,1.0,0.0,0.0,0.0,2.5,3.2,2.75
2006,8,5,7,2.0,1.0,H,2.0,0.0,H,8.0,4.0,4.0,2.0,24.0,26.0,3.0,2.0,3.0,4.0,0.0,0.0,1.44,4.0,7.5
2006,8,13,9,2.0,2.0,D,1.0,1.0,D,17.0,11.0,8.0,7.0,15.0,18.0,5.0,1.0,0.0,3.0,0.0,0.0,2.3,3.25,3.0
2006,8,10,11,1.0,2.0,A,1.0,0.0,H,16.0,15.0,12.0,6.0,23.0,22.0,6.0,0.0,2.0,3.0,0.0,0.0,1.83,3.3,4.33
2006,8,12,17,1.0,1.0,D,1.0,1.0,D,18.0,16.0,7.0,6.0,8.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0,1.44,4.0,7.5
2006,9,4,2,0.0,2.0,A,0.0,1.0,A,14.0,12.0,8.0,8.0,12.0,19.0,10.0,7.0,0.0,1.0,0.0,0.0,2.25,3.2,3.1
2006,9,6,5,3.0,0.0,H,1.0,0.0,H,18.0,16.0,10.0,9.0,24.0,11.0,6.0,7.0,2.0,5.0,0.0,0.0,2.4,3.2,2.87
2006,9,1,7,0.0,0.0,D,0.0,0.0,D,19.0,12.0,11.0,4.0,25.0,14.0,7.0,4.0,1.0,0.0,0.0,0.0,1.66,3.6,5.0
2006,9,17,8,0.0,1.0,A,0.0,1.0,A,20.0,17.0,13.0,8.0,14.0,19.0,12.0,3.0,2.0,2.0,1.0,0.0,2.25,3.2,3.1
2006,9,16,10,5.0,1.0,H,2.0,0.0,H,19.0,9.0,13.0,3.0,7.0,17.0,4.0,3.0,0.0,3.0,0.0,0.0,2.1,3.3,3.3
2006,9,9,12,1.0,1.0,D,0.0,0.0,D,14.0,10.0,9.0,5.0,18.0,23.0,4.0,7.0,1.0,1.0,0.0,0.0,2.4,3.2,2.87
2006,9,0,13,2.0,0.0,H,2.0,0.0,H,19.0,12.0,12.0,8.0,15.0,13.0,5.0,3.0,0.0,0.0,0.0,1.0,1.28,5.0,10.0
2006,9,11,14,2.0,0.0,H,0.0,0.0,D,19.0,11.0,7.0,4.0,22.0,21.0,6.0,1.0,2.0,4.0,0.0,1.0,2.9,3.2,2.37
2006,9,3,15,1.0,6.0,A,0.0,3.0,A,15.0,16.0,9.0,12.0,21.0,19.0,4.0,3.0,1.0,0.0,0.0,0.0,5.5,3.6,1.61
2006,10,5,0,2.0,2.0,D,2.0,1.0,H,21.0,10.0,12.0,5.0,18.0,21.0,4.0,3.0,1.0,3.0,0.0,0.0,2.6,3.2,2.62
2006,10,8,1,1.0,0.0,H,1.0,0.0,H,11.0,18.0,5.0,12.0,20.0,20.0,5.0,6.0,2.0,1.0,0.0,0.0,2.6,3.25,2.6
2006,10,2,3,1.0,1.0,D,1.0,1.0,D,20.0,4.0,10.0,3.0,19.0,24.0,10.0,2.0,3.0,3.0,0.0,1.0,1.5,3.75,7.0
2006,10,13,4,1.0,0.0,H,0.0,0.0,D,19.0,5.0,12.0,2.0,21.0,27.0,7.0,4.0,2.0,1.0,0.0,1.0,2.1,3.25,3.4
2006,10,10,6,2.0,4.0,A,1.0,2.0,A,15.0,16.0,7.0,9.0,22.0,25.0,3.0,6.0,1.0,3.0,0.0,0.0,2.87,3.25,2.37
2006,10,14,9,2.0,1.0,H,1.0,0.0,H,6.0,16.0,6.0,10.0,16.0,17.0,7.0,6.0,1.0,0.0,0.0,0.0,1.9,3.25,4.0
2006,10,15,11,1.0,1.0,D,0.0,0.0,D,14.0,10.0,9.0,6.0,20.0,28.0,9.0,7.0,2.0,5.0,0.0,0.0,1.25,5.0,13.0
2006,10,12,16,1.0,1.0,D,0.0,0.0,D,16.0,7.0,11.0,5.0,16.0,20.0,10.0,3.0,1.0,2.0,0.0,1.0,1.66,3.6,5.0
2006,10,7,17,0.0,2.0,A,0.0,1.0,A,8.0,8.0,4.0,5.0,15.0,18.0,6.0,2.0,2.0,2.0,0.0,0.0,1.8,3.4,4.33
2006,11,6,1,2.0,0.0,H,0.0,0.0,D,13.0,18.0,7.0,8.0,26.0,15.0,6.0,4.0,1.0,2.0,0.0,0.0,1.8,3.4,4.33
2006,11,17,2,1.0,3.0,A,0.0,2.0,A,16.0,13.0,8.0,5.0,15.0,18.0,10.0,3.0,1.0,1.0,0.0,1.0,2.8,3.25,2.4
2006,11,4,5,0.0,2.0,A,0.0,2.0,A,16.0,17.0,4.0,6.0,24.0,25.0,3.0,4.0,2.0,2.0,0.0,0.0,2.7,3.25,2.5
2006,11,0,7,0.0,1.0,A,0.0,1.0,A,15.0,6.0,6.0,2.0,24.0,12.0,12.0,4.0,2.0,0.0,0.0,0.0,1.2,6.0,13.0
2006,11,3,8,1.0,2.0,A,1.0,1.0,D,9.0,5.0,8.0,4.0,20.0,19.0,8.0,1.0,2.0,1.0,0.0,0.0,2.3,3.25,3.0
2006,11,12,10,0.0,0.0,D,0.0,0.0,D,24.0,5.0,12.0,2.0,21.0,22.0,16.0,3.0,2.0,1.0,0.0,0.0,1.57,3.8,5.5
2006,11,11,13,0.0,1.0,A,0.0,1.0,A,16.0,20.0,7.0,9.0,18.0,26.0,7.0,6.0,2.0,0.0,0.0,0.0,2.0,3.3,3.6
2006,11,16,14,2.0,2.0,D,1.0,1.0,D,16.0,8.0,8.0,5.0,20.0,20.0,3.0,6.0,1.0,4.0,0.0,0.0,2.4,3.25,2.8
2006,11,9,15,1.0,2.0,A,0.0,1.0,A,9.0,10.0,4.0,6.0,22.0,16.0,7.0,3.0,2.0,3.0,0.0,0.0,4.33,3.3,1.83
2006,12,2,0,2.0,3.0,A,0.0,1.0,A,14.0,17.0,9.0,9.0,16.0,11.0,7.0,6.0,1.0,1.0,0.0,0.0,3.2,3.25,2.2
2006,12,5,3,4.0,0.0,H,3.0,0.0,H,12.0,10.0,7.0,4.0,16.0,11.0,1.0,10.0,0.0,0.0,0.0,0.0,1.44,4.0,7.5
2006,12,1,4,1.0,1.0,D,0.0,0.0,D,20.0,8.0,12.0,6.0,18.0,31.0,3.0,1.0,1.0,2.0,0.0,0.0,1.72,3.6,4.5
2006,12,7,6,1.0,2.0,A,1.0,0.0,H,11.0,16.0,6.0,13.0,13.0,25.0,3.0,3.0,0.0,1.0,0.0,1.0,2.9,3.2,2.37
2006,12,10,9,1.0,1.0,D,0.0,1.0,A,11.0,30.0,6.0,14.0,14.0,20.0,7.0,7.0,1.0,2.0,1.0,0.0,2.37,3.25,2.87
2006,12,8,11,0.0,0.0,D,0.0,0.0,D,14.0,14.0,5.0,9.0,20.0,21.0,10.0,7.0,1.0,2.0,0.0,0.0,1.83,3.3,4.33
2006,12,15,12,1.0,3.0,A,1.0,1.0,D,16.0,13.0,13.0,6.0,19.0,32.0,11.0,2.0,3.0,4.0,0.0,0.0,1.44,4.0,7.5
2006,12,13,16,0.0,3.0,A,0.0,1.0,A,14.0,9.0,9.0,6.0,12.0,10.0,5.0,1.0,3.0,3.0,0.0,0.0,2.0,3.2,3.75
2006,12,14,17,3.0,3.0,D,1.0,2.0,A,16.0,14.0,10.0,9.0,24.0,28.0,5.0,6.0,3.0,3.0,0.0,1.0,1.44,4.0,7.5
2006,13,3,1,0.0,0.0,D,0.0,0.0,D,12.0,14.0,7.0,9.0,22.0,17.0,6.0,6.0,2.0,3.0,0.0,0.0,2.75,3.2,2.5
2006,13,9,2,3.0,2.0,H,1.0,1.0,D,16.0,13.0,7.0,5.0,19.0,20.0,7.0,10.0,3.0,3.0,0.0,0.0,2.4,3.2,2.87
2006,13,11,5,2.0,4.0,A,2.0,2.0,D,18.0,12.0,8.0,10.0,16.0,20.0,4.0,5.0,1.0,0.0,0.0,0.0,3.6,3.3,2.0
2006,13,0,6,2.0,1.0,H,2.0,1.0,H,17.0,13.0,9.0,7.0,21.0,29.0,2.0,2.0,1.0,2.0,0.0,0.0,1.57,3.6,6.0
2006,13,4,7,0.0,1.0,A,0.0,0.0,D,14.0,8.0,5.0,7.0,14.0,25.0,5.0,7.0,0.0,5.0,0.0,0.0,2.0,3.2,3.75
2006,13,16,8,0.0,0.0,D,0.0,0.0,D,18.0,7.0,11.0,3.0,11.0,17.0,5.0,9.0,0.0,2.0,0.0,0.0,2.1,3.25,3.4
2006,13,17,13,4.0,3.0,H,3.0,2.0,H,20.0,11.0,15.0,9.0,17.0,13.0,11.0,2.0,0.0,0.0,0.0,1.0,2.3,3.25,3.0
2006,13,12,14,1.0,2.0,A,1.0,2.0,A,21.0,11.0,13.0,6.0,20.0,16.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,3.2,3.75
2006,13,10,15,2.0,2.0,D,1.0,0.0,H,12.0,19.0,4.0,12.0,17.0,22.0,4.0,9.0,0.0,3.0,0.0,0.0,5.5,3.8,1.57
2006,14,1,0,1.0,2.0,A,1.0,0.0,H,8.0,16.0,4.0,8.0,19.0,19.0,3.0,2.0,3.0,4.0,0.0,0.0,4.0,3.25,1.9
2006,14,7,3,1.0,0.0,H,0.0,0.0,D,21.0,8.0,12.0,3.0,17.0,17.0,5.0,6.0,1.0,1.0,0.0,0.0,1.9,3.25,4.0
2006,14,6,4,1.0,0.0,H,1.0,0.0,H,17.0,11.0,10.0,4.0,16.0,20.0,4.0,5.0,1.0,3.0,0.0,0.0,1.53,3.6,6.5
2006,14,8,9,1.0,1.0,D,0.0,1.0,A,10.0,9.0,6.0,5.0,16.0,20.0,7.0,1.0,3.0,2.0,0.0,0.0,2.3,3.25,3.0
2006,14,14,10,2.0,1.0,H,1.0,1.0,D,15.0,13.0,9.0,8.0,16.0,17.0,7.0,5.0,3.0,1.0,0.0,0.0,1.57,3.8,5.5
2006,14,2,11,3.0,1.0,H,1.0,0.0,H,22.0,9.0,16.0,8.0,22.0,20.0,9.0,2.0,2.0,2.0,0.0,0.0,1.57,3.6,6.0
2006,14,13,12,1.0,1.0,D,1.0,0.0,H,19.0,12.0,6.0,8.0,17.0,16.0,8.0,5.0,1.0,2.0,0.0,0.0,2.5,3.2,2.75
2006,14,15,16,3.0,0.0,H,2.0,0.0,H,24.0,3.0,14.0,2.0,11.0,10.0,8.0,3.0,1.0,2.0,0.0,0.0,1.4,4.33,7.5
2006,14,5,17,2.0,1.0,H,2.0,0.0,H,22.0,12.0,15.0,6.0,14.0,12.0,4.0,7.0,2.0,1.0,0.0,1.0,1.4,4.5,7.5
2006,15,17,1,2.0,1.0,H,1.0,1.0,D,10.0,13.0,9.0,7.0,24.0,31.0,2.0,3.0,3.0,4.0,0.0,1.0,2.75,3.2,2.5
2006,15,16,2,0.0,0.0,D,0.0,0.0,D,15.0,5.0,8.0,1.0,13.0,30.0,3.0,2.0,1.0,5.0,0.0,0.0,2.37,3.2,2.9
2006,15,0,4,1.0,1.0,D,1.0,1.0,D,20.0,7.0,11.0,4.0,10.0,14.0,12.0,5.0,1.0,1.0,0.0,0.0,1.22,5.5,13.0
2006,15,9,5,0.0,0.0,D,0.0,0.0,D,14.0,9.0,8.0,8.0,18.0,21.0,5.0,2.0,1.0,3.0,0.0,0.0,2.87,3.2,2.4
2006,15,3,6,0.0,0.0,D,0.0,0.0,D,10.0,16.0,5.0,9.0,19.0,24.0,8.0,6.0,1.0,4.0,0.0,0.0,4.0,3.25,1.9
2006,15,11,7,0.0,1.0,A,0.0,1.0,A,4.0,9.0,2.0,5.0,14.0,17.0,3.0,4.0,1.0,1.0,1.0,0.0,2.37,3.2,2.9
2006,15,12,8,1.0,0.0,H,0.0,0.0,D,12.0,6.0,6.0,2.0,15.0,15.0,4.0,2.0,2.0,1.0,0.0,0.0,1.8,3.4,4.33
2006,15,10,13,2.0,3.0,A,1.0,2.0,A,20.0,11.0,11.0,7.0,18.0,16.0,8.0,5.0,2.0,0.0,0.0,0.0,2.3,3.25,3.0
2006,15,15,14,3.0,1.0,H,3.0,1.0,H,22.0,15.0,13.0,9.0,14.0,24.0,3.0,6.0,0.0,2.0,0.0,0.0,1.61,3.6,5.5
2006,16,4,3,1.0,1.0,D,1.0,0.0,H,9.0,14.0,7.0,6.0,22.0,18.0,6.0,4.0,1.0,2.0,0.0,0.0,1.8,3.3,4.5
2006,16,1,9,0.0,0.0,D,0.0,0.0,D,10.0,11.0,6.0,2.0,17.0,23.0,8.0,4.0,1.0,2.0,0.0,0.0,2.25,3.3,3.0
2006,16,8,10,1.0,2.0,A,0.0,0.0,D,11.0,13.0,6.0,7.0,24.0,25.0,4.0,5.0,1.0,4.0,1.0,0.0,1.83,3.3,4.33
2006,16,0,11,2.0,1.0,H,1.0,0.0,H,10.0,13.0,8.0,8.0,14.0,23.0,1.0,3.0,1.0,2.0,0.0,0.0,1.16,6.0,19.0
2006,16,5,12,3.0,1.0,H,2.0,0.0,H,20.0,17.0,17.0,10.0,16.0,18.0,11.0,8.0,1.0,3.0,0.0,0.0,1.83,3.3,4.33
2006,16,2,14,2.0,1.0,H,1.0,1.0,D,21.0,10.0,12.0,5.0,24.0,22.0,5.0,3.0,3.0,2.0,0.0,1.0,2.1,3.25,3.4
2006,16,13,15,2.0,6.0,A,1.0,3.0,A,17.0,12.0,10.0,9.0,20.0,23.0,15.0,5.0,2.0,2.0,0.0,0.0,4.5,3.3,1.8
2006,16,7,16,1.0,1.0,D,0.0,0.0,D,18.0,8.0,7.0,3.0,17.0,13.0,9.0,5.0,1.0,1.0,0.0,0.0,2.0,3.3,3.6
