,Season,Gameday,Link,TeamH,TeamA,GD,GoalsH,GoalsA,ShotsH,ShotsA,PassesH,PassesA,PassQuH,PassQuA,PossesH,PossesA,ChallH,ChallA,FoulsH,FoulsA,OffsideH,OffsideA,CornersH,CornersA,ChancesH,ChancesA,Attendance,Last6-1,Last6-2,Last6-3,Last6-4,Last6-5,Last6-6
0,2004,1,677679,4,2,1,1,0,,,,,,,,,,,,,,,5,3,5,4,42109,0.0,3.0,1.0,0.0,3.0,3.0
1,2004,1,677671,37,81,-2,1,3,,,,,,,,,,,,,,,10,8,4,12,37828,5.0,-1.0,1.0,2.0,2.0,0.0
2,2004,1,677672,7,3,0,0,0,,,,,,,,,,,,,,,5,5,4,4,21000,-3.0,0.0,-4.0,0.0,0.0,0.0
3,2004,1,677673,17,24,-1,1,2,,,,,,,,,,,,,,,7,3,12,3,71000,2.0,4.0,0.0,-2.0,0.0,4.0
4,2004,1,677675,9,58,1,2,1,,,,,,,,,,,,,,,2,2,6,6,22500,0.0,4.0,1.0,-2.0,2.0,0.0
5,2004,1,677676,29,8,0,2,2,,,,,,,,,,,,,,,2,1,7,2,45435,0.0,0.0,1.0,-3.0,2.0,4.0
6,2004,1,677677,12,14,-2,0,2,,,,,,,,,,,,,,,5,3,1,5,55500,-1.0,-2.0,0.0,-3.0,0.0,-3.0
7,2004,1,677674,10,15,0,0,0,,,,,,,,,,,,,,,8,3,2,2,26601,3.0,-3.0,0.0,2.0,-2.0,0.0
8,2004,1,677678,11,30,2,4,2,,,,,,,,,,,,,,,3,6,6,2,45000,,,,,,
9,2004,2,677680,30,12,1,2,1,,,,,,,,,,,,,,,1,9,6,4,18700,,,,,,
10,2004,2,677681,14,29,0,1,1,,,,,,,,,,,,,,,6,2,4,4,58000,0.0,3.0,3.0,2.0,3.0,-1.0
11,2004,2,677684,15,17,-1,2,3,,,,,,,,,,,,,,,5,4,7,7,53148,-2.0,1.0,1.0,-1.0,-2.0,-1.0
12,2004,2,677686,3,4,-4,0,4,,,,,,,,,,,,,,,6,4,5,8,23200,2.0,-3.0,1.0,0.0,-1.0,-1.0
13,2004,2,677687,2,37,1,2,1,,,,,,,,,,,,,,,11,3,9,3,60956,3.0,2.0,0.0,2.0,3.0,0.0
14,2004,2,677688,81,11,0,1,1,,,,,,,,,,,,,,,2,3,5,3,41384,2.0,-1.0,1.0,-2.0,0.0,0.0
15,2004,2,677682,8,9,0,2,2,,,,,,,,,,,,,,,7,5,8,9,26289,2.0,1.0,1.0,2.0,-1.0,1.0
16,2004,2,677685,24,7,-1,0,1,,,,,,,,,,,,,,,10,2,7,1,16378,4.0,-1.0,0.0,0.0,-3.0,-1.0
17,2004,2,677683,58,10,-1,0,1,,,,,,,,,,,,,,,4,6,4,3,31288,1.0,0.0,2.0,-1.0,2.0,-2.0
18,2004,3,677689,37,11,-1,2,3,,,,,,,,,,,,,,,2,5,6,8,37828,1.0,-2.0,-1.0,0.0,-1.0,0.0
19,2004,3,677690,7,15,0,1,1,,,,,,,,,,,,,,,3,3,4,6,25000,0.0,3.0,-1.0,0.0,1.0,-2.0
20,2004,3,677692,10,8,-1,1,2,,,,,,,,,,,,,,,13,2,5,3,18567,-2.0,3.0,-2.0,-1.0,2.0,0.0
21,2004,3,677693,9,14,3,4,1,,,,,,,,,,,,,,,7,3,10,5,22500,-2.0,0.0,-3.0,1.0,-2.0,0.0
22,2004,3,677694,29,30,0,1,1,,,,,,,,,,,,,,,4,4,5,2,39302,,,,,,
23,2004,3,677695,12,81,1,4,3,,,,,,,,,,,,,,,6,5,10,6,36587,4.0,2.0,2.0,0.0,2.0,0.0
24,2004,3,677696,2,3,-2,0,2,,,,,,,,,,,,,,,6,4,8,4,60790,-2.0,-1.0,-2.0,0.0,2.0,2.0
25,2004,3,677691,17,58,0,1,1,,,,,,,,,,,,,,,0,7,5,3,74000,0.0,4.0,2.0,3.0,4.0,4.0
26,2004,3,677697,4,24,-1,1,2,,,,,,,,,,,,,,,7,0,12,6,37600,2.0,-2.0,1.0,-2.0,-2.0,-1.0
27,2004,4,677698,30,9,2,2,0,,,,,,,,,,,,,,,2,4,6,3,19500,,,,,,
28,2004,4,677699,14,10,1,1,0,,,,,,,,,,,,,,,3,3,5,1,48000,0.0,4.0,3.0,1.0,0.0,1.0
29,2004,4,677700,8,17,0,2,2,,,,,,,,,,,,,,,3,7,5,7,32220,-3.0,3.0,-3.0,0.0,-5.0,0.0
30,2004,4,677702,15,4,2,3,1,,,,,,,,,,,,,,,3,5,4,4,52100,-1.0,0.0,3.0,-2.0,1.0,-1.0
31,2004,4,677703,24,2,3,3,0,,,,,,,,,,,,,,,6,4,11,5,25436,0.0,0.0,-1.0,-1.0,1.0,2.0
32,2004,4,677705,11,12,2,2,0,,,,,,,,,,,,,,,4,6,6,3,45000,-1.0,0.0,0.0,-1.0,3.0,-2.0
33,2004,4,677706,81,29,0,0,0,,,,,,,,,,,,,,,8,5,4,5,30891,-3.0,-1.0,-2.0,-2.0,0.0,-3.0
34,2004,4,677701,58,7,0,2,2,,,,,,,,,,,,,,,6,5,4,6,32447,-3.0,3.0,,,,
35,2004,4,677704,3,37,-1,2,3,,,,,,,,,,,,,,,7,2,5,8,20000,-1.0,4.0,-1.0,0.0,1.0,-2.0
36,2004,5,677707,37,12,1,2,1,,,,,,,,,,,,,,,4,5,4,4,32502,-1.0,4.0,2.0,-2.0,0.0,1.0
37,2004,5,677709,17,14,0,2,2,,,,,,,,,,,,,,,1,6,5,7,83000,2.0,-3.0,1.0,-1.0,0.0,-2.0
38,2004,5,677710,10,30,0,1,1,,,,,,,,,,,,,,,4,4,6,7,15364,,,,,,
39,2004,5,677711,9,81,0,2,2,,,,,,,,,,,,,,,4,4,7,7,22500,1.0,-2.0,-1.0,2.0,0.0,3.0
40,2004,5,677713,3,24,-1,1,2,,,,,,,,,,,,,,,7,6,6,5,15000,2.0,-2.0,1.0,-1.0,-4.0,-1.0
41,2004,5,677714,2,15,1,3,2,,,,,,,,,,,,,,,11,4,9,7,61524,-2.0,1.0,0.0,1.0,2.0,0.0
42,2004,5,677715,4,58,3,3,0,,,,,,,,,,,,,,,4,3,8,3,40100,0.0,4.0,-1.0,0.0,1.0,0.0
43,2004,5,677708,7,8,0,1,1,,,,,,,,,,,,,,,4,3,5,4,21500,-3.0,2.0,2.0,5.0,0.0,1.0
44,2004,5,677712,29,11,0,0,0,,,,,,,,,,,,,,,4,3,2,3,45349,1.0,0.0,-2.0,0.0,2.0,0.0
45,2004,6,677717,14,7,2,3,1,,,,,,,,,,,,,,,11,4,7,7,47000,2.0,6.0,2.0,1.0,1.0,0.0
